,Jb0
1025,Idle
1026,Idle
1027,Idle
1028,Idle
1029,Idle
1030,Skip
1031,Idle
1032,Idle
1033,Idle
1034,Idle
1035,Idle
1036,Idle
1037,Idle
1038,Idle
1039,Idle
1040,Idle
1041,Idle
1042,Idle
1043,Idle
1044,Idle
1045,Idle
1046,Idle
1047,Idle
1048,Idle
1049,Idle
1050,Idle
1051,Idle
1052,Idle
1053,Idle
1054,Idle
1055,Idle
1056,Idle
1057,Idle
1058,Idle
1059,Idle
1060,Idle
1061,Idle
1062,Idle
1063,Idle
1064,Idle
1065,Idle
1066,Idle
1067,Idle
1068,Idle
1069,Idle
1070,Idle
1071,Idle
1072,Idle
1073,Idle
1074,Skip
1075,Idle
1076,Idle
1077,Idle
1078,Idle
1079,Idle
1080,Idle
1081,Idle
1082,Idle
1083,Idle
1084,Idle
1085,Idle
1086,Idle
1087,Idle
1088,Idle
1089,Idle
1090,Schedule
1091,Precheck
1092,Preheat
1093,Preheat
1094,Preheat
1095,Preheat
1096,Preheat
1097,Preheat
1098,Preheat
1099,Preheat
1100,Align
1101,Slewing
1102,Slewing
1103,Slewing
1104,Slewing
1105,Slewing
1106,Slewing
1107,Slewing
1108,Correct_Attitude
1109,Correct_Attitude
1110,Correct_Attitude
1111,Available
1112,Start
1113,Start
1114,Start
1115,Start
1116,Start
1117,Start
1118,Start
1119,Start
1120,Start
1121,Start
1122,Start
1123,Start
1124,Start
1125,Start
1126,Start
1127,Stop
1128,Check_Attitude
1129,Check_Attitude
1130,SlewingBack
1131,SlewingBack
1132,SlewingBack
1133,SlewingBack
1134,End
1135,Idle
1136,Idle
1137,Idle
1138,Idle
1139,Idle
1140,Idle
1141,Idle
1142,Idle
1143,Idle
1144,Idle
1145,Idle
1146,Idle
1147,Idle
1148,Idle
1149,Idle
1150,Idle
1151,Idle
1152,Idle
1153,Idle
1154,Idle
1155,Idle
1156,Idle
1157,Idle
1158,Idle
1159,Idle
1160,Idle
1161,Idle
1162,Idle
1163,Idle
1164,Idle
1165,Idle
1166,Idle
1167,Idle
1168,Idle
1169,Idle
1170,Idle
1171,Idle
1172,Idle
1173,Idle
1174,Idle
1175,Idle
1176,Idle
1177,Idle
1178,Skip
1179,Idle
1180,Idle
1181,Idle
1182,Idle
1183,Idle
1184,Idle
1185,Idle
1186,Idle
1187,Idle
1188,Idle
1189,Idle
1190,Idle
1191,Idle
1192,Idle
1193,Idle
1194,Idle
1195,Idle
1196,Idle
1197,Idle
1198,Idle
1199,Idle
1200,Idle
1201,Idle
1202,Idle
1203,Idle
1204,Idle
1205,Idle
1206,Idle
1207,Idle
1208,Idle
1209,Idle
1210,Idle
1211,Idle
1212,Idle
1213,Idle
1214,Idle
1215,Idle
1216,Idle
1217,Idle
1218,Idle
1219,Idle
1220,Idle
1221,Idle
1222,Skip
1223,Idle
1224,Idle
1225,Idle
1226,Idle
1227,Idle
1228,Idle
1229,Idle
1230,Idle
1231,Idle
1232,Idle
1233,Idle
1234,Idle
1235,Idle
1236,Idle
1237,Idle
1238,Idle
1239,Idle
1240,Idle
1241,Idle
1242,Skip
1243,Idle
1244,Idle
1245,Idle
1246,Idle
1247,Idle
1248,Idle
1249,Idle
1250,Idle
1251,Idle
1252,Idle
1253,Idle
1254,Idle
1255,Idle
1256,Idle
1257,Idle
1258,Skip
1259,Idle
1260,Idle
1261,Idle
1262,Idle
1263,Idle
1264,Idle
1265,Idle
1266,Idle
1267,Idle
1268,Idle
1269,Idle
1270,Idle
1271,Idle
1272,Idle
1273,Idle
1274,Idle
1275,Idle
1276,Idle
1277,Idle
1278,Idle
1279,Idle
1280,Idle
1281,Idle
1282,Idle
1283,Idle
1284,Idle
1285,Idle
1286,Idle
1287,Idle
1288,Idle
1289,Idle
1290,Idle
1291,Skip
1292,Idle
1293,Idle
1294,Idle
1295,Idle
1296,Idle
1297,Idle
1298,Idle
1299,Idle
1300,Idle
1301,Idle
1302,Idle
1303,Idle
1304,Idle
1305,Idle
1306,Idle
1307,Idle
1308,Idle
1309,Idle
1310,Idle
1311,Idle
1312,Idle
1313,Idle
1314,Idle
1315,Idle
1316,Idle
1317,Idle
1318,Idle
1319,Idle
1320,Idle
1321,Idle
1322,Idle
1323,Idle
1324,Idle
1325,Idle
1326,Idle
1327,Idle
1328,Idle
1329,Idle
